dialect,msa,word
gulf,قهوة,قهوة
gulf,شاي,شاي
gulf,طعام,اكل
gulf,شراب,شرب
gulf,هاتف,موبايل
gulf,سيارة,سيارة
gulf,مستشفى,مستشفى
gulf,نقل عام,مواصلات
gulf,حار,حران
gulf,بارد,بردان
gulf,جائع,جوعان
gulf,ظمآن,عطشان
egyptian,العمل,الشغل
egyptian,مبكر,بدري
egyptian,لم ينتهِ بعد,لسه
egyptian,أمس,امبارح
egyptian,جائع,جعان
egyptian,متفرغ,فاضي
egyptian,غير قادر,مش قادر
egyptian,أسمعك جيدًا,سامعك كويس
egyptian,غدًا,بكرة
egyptian,لم ينتهِ,ما خلصش
egyptian,بعد قليل,بعد شوية
egyptian,الطقس حار,الجو حر
levantine,ماذا,شو
levantine,تريد,بدك
levantine,مبكر,بكير
levantine,قليل,شوية
levantine,منتظر,ناطر
levantine,لا يريد,ما بدو
levantine,ليس لدي,ما عندي
levantine,ذهبت,راحت
levantine,خرجت,نزلت
gulf,بحاجة,محتاج
gulf,أذهب,بروح
gulf,كرة القدم,الكورة
gulf,غدًا,بكرة
gulf,لن أفعل,ما راح أسوي
egyptian,السيارة,العربية
levantine,منتظر,ناطر
levantine,متسخ,وسخ
egyptian,متسخ,وسخ
egyptian,الطعام,الأكل
levantine,الطعام,الأكل
levantine,جيدة,طيبة
levantine,مثل,متل
gulf,الثمن,السعر
egyptian,متوقفة,واقفة
egyptian,جدًا,أوي
egyptian,كرة القدم,الكورة
egyptian,لم أنتهِ,مخلصتش
egyptian,الفتى,الواد
egyptian,أرغب,نفسي
egyptian,هذه الشركة,الشركة دي
egyptian,أحضر,أجيب
egyptian,شيئًا,حاجة
egyptian,الطريق,الشارع
egyptian,مرتفعة الثمن,غالية
egyptian,مرتفع الثمن,غالي
egyptian,منخفض الثمن,رخيص
egyptian,مرهق,تعبان
egyptian,متفرغ,فاضي
levantine,الطقس,الجو
levantine,جميل,حلو
levantine,لذيذ,زاكي
levantine,مكتظ,مزدحم
gulf,لا بأس,ما عليه
gulf,دعنا,خلنا
egyptian,سآتي,هعدي
egyptian,أين,فين
egyptian,ماذا تقصد,قصدك ايه
egyptian,ماذا,ايه
egyptian,لذيذة,زاكية
egyptian,كنت أفكر في,بفكر 
egyptian,الذهاب إلى السينما,أروح السينما
egyptian,بجانبنا,جنبنا
gulf,لا بأس,ما عليه
gulf,دعه يبتعد عن الشر,خله شر
gulf,أغراض,حاجات
gulf,لكن,بس
