text,dialect
"""شو صار معك؟""",levantine
"""هو ما رد على تليفونه""",levantine
"""انا بدي اروح بكير""",levantine
"""هي كتير مبسوطة""",levantine
"""انت شو عم تدرس؟""",levantine
"""انا ساكن قريب من هون""",levantine
"""ليش ما خبرتني؟""",levantine
"""انا جوعان كتير""",levantine
"""هو ما بيعرف يحكي منيح""",levantine
"""شو اسمك الكامل؟""",levantine
"""انا رح شوفك بكرا""",levantine
"""هي ما اجت اليوم""",levantine
"""انت وين كنت؟""",levantine
"""انا ما بدي روح""",levantine
"""شو بدك مني؟""",levantine
"""شلونك اليوم؟""",gulf
"""وايد حلو الجو""",gulf
"""انت وين رايح؟""",gulf
"""ليش تأخرت؟""",gulf
"""انا تعبان شوي""",gulf
"""هذي السالفة طويلة""",gulf
"""ما عليه، بسيطة""",gulf
"""انت شفته امس؟""",gulf
"""انا بروح الحين""",gulf
"""هي ما ردت علي""",gulf
"""انت شتسوي؟""",gulf
"""الاكل هذا لذيذ""",gulf
"""انا ما عندي وقت""",gulf
"""هو ساكن قريب""",gulf
"""ليش ما قلت لي؟""",gulf
"""انا محتاج مساعدة""",gulf
"""هذي مو مشكلة""",gulf
"""انت متأكد؟""",gulf
"""انا جوعان وايد""",gulf
"""هي راحت السوق""",gulf
"""انا ما فهمت كلامك""",gulf
"""انت وين كنت؟""",gulf
"""هذي السيارة غالية""",gulf
"""انا برجع بعد شوي""",gulf
"""ليش مستعجل؟""",gulf
"""هو يحب الكورة""",gulf
"""انا ما اقدر اليوم""",gulf
"""هي زعلانة شوي""",gulf
"""انت شفت الموضوع؟""",gulf
"""انا بروح اشرب قهوة""",gulf
"""انا رايح دلوقتي""",egyptian
"""عايز اشرب شاي""",egyptian
"""مفيش وقت خالص""",egyptian
"""النهارده الجو حلو""",egyptian
"""بكره عندي شغل""",egyptian
"""هوه بيحب الكورة""",egyptian
"""انتي فاضية النهارده؟""",egyptian
"""لسه ما خلصتش""",egyptian
"""كمان عايز اروح""",egyptian
"""العربية واقفة في الشارع""",egyptian
"""البيت كبير قوي""",egyptian
"""المدرسة بعيدة""",egyptian
"""الجامعة زحمة""",egyptian
"""عايز اروح السوق""",egyptian
"""موبايلك غالي""",egyptian
"""الشاي سخن""",egyptian
"""القهوة حلوة""",egyptian
"""الاكل جاهز""",egyptian
"""الشارع واسع""",egyptian
"""الولد صغير""",egyptian
"""البيت نظيف""",egyptian
"""المدرسة جديدة""",egyptian
"""الجامعة كبيرة""",egyptian
"""الاكل رخيص""",egyptian
"""الشارع زحمة""",egyptian
"""الجو وحش""",egyptian
"""النهارده برد""",egyptian
"""النهارده حر""",egyptian
"""الولد عيان""",egyptian
"""الدكتور موجود""",egyptian
"""شو عم تعمل هلأ؟""",levantine
"""ليش ما اجيت؟""",levantine
"""كتير مبسوط اليوم""",levantine
"""بدي اروح عالجامعة""",levantine
"""هوني الجو بردان""",levantine
"""معليش ما قدرت""",levantine
"""صار الوقت نروح""",levantine
"""هونيك في سوق كبير""",levantine
"""زعلان منو كتير""",levantine
"""هدا الكتاب منيح""",levantine
"""هديك البنت صغيرة""",levantine
"""هلق لازم نروح""",levantine
"""هلأ الجو حلو""",levantine
"""بكير كتير""",levantine
"""مو مشكلة""",levantine
"""هوني البيت واسع""",levantine
"""هونيك الجامعة كبيرة""",levantine
"""معليش تأخرت""",levantine
"""مبسوط بالشغل""",levantine
"""جوعان كتير""",levantine
"""عطشان شوي""",levantine
"""بردان بالليل""",levantine
"""حران بالنهار""",levantine
"""شوفير الباص موجود""",levantine
"""التاكسي واقف""",levantine
"""المدرسة قريبة""",levantine
"""الجامعة جديدة""",levantine
"""السوق مزدحم""",levantine
"""القهوة طيبة""",levantine
"""الشاي سخن""",levantine
"""وايد حلو الجو الحين""",gulf
"""شلونك اليوم؟""",gulf
"""ما عليه خلها بسيطة""",gulf
"""غالي السعر وايد""",gulf
"""السالفة طويلة""",gulf
"""هالمكان زحمة""",gulf
"""هالوقت مناسب""",gulf
"""هالشي ما ينفع""",gulf
"""هالولد صغير""",gulf
"""الحين بروح السوق""",gulf
"""البيت كبير""",gulf
"""المدرسة بعيدة""",gulf
"""الجامعة مزدحمة""",gulf
"""القهوة زينة""",gulf
"""الشاي حار""",gulf
"""الاكل جاهز""",gulf
"""الشارع واسع""",gulf
"""الولد مريض""",gulf
"""الدكتور موجود""",gulf
"""السيارة واقفة""",gulf
"""المستشفى قريب""",gulf
"""المواصلات زحمة""",gulf
"""الجو حر""",gulf
"""الجو بارد""",gulf
"""جوعان وايد""",gulf
"""عطشان شوي""",gulf
"""السوق كبير""",gulf
"""الجامعة جديدة""",gulf
"""المدرسة نظيفة""",gulf
"""البيت مرتب""",gulf
"""انا كنت رايح السوق دلوقتي بس الطريق زحمة""",egyptian
"""عايز اشرب شاي معاك بعد المحاضرة""",egyptian
"""مفيش وقت خالص نخلص المشروع النهارده""",egyptian
"""النهارده الجو حلو قوي نروح نتفسح""",egyptian
"""بكره عندي شغل في الشركة ومشغول""",egyptian
"""هوه بيحب الكورة وبيشجع الأهلي""",egyptian
"""انتي فاضية النهارده نروح السينما؟""",egyptian
"""لسه ما خلصتش الواجب بتاعي""",egyptian
"""كمان عايز اروح أجيب حاجة من السوق""",egyptian
"""العربية واقفة في الشارع ومش راضية تدور""",egyptian
"""النهارده عندي محاضرة في الجامعة""",egyptian
"""عايز اروح اشتري موبايل جديد""",egyptian
"""مفيش تاكسي في الشارع""",egyptian
"""لسه مستني الباص""",egyptian
"""كمان محتاج فلوس""",egyptian
"""البيت قديم بس واسع""",egyptian
"""المدرسة قريبة من البيت""",egyptian
"""الجامعة كبيرة قوي""",egyptian
"""الاكل وحش النهارده""",egyptian
"""الشاي سخن قوي""",egyptian
"""الشارع زحمة جداً""",egyptian
"""الجو برد قوي""",egyptian
"""الجو حر نار""",egyptian
"""الولد عيان ومحتاج دكتور""",egyptian
"""المستشفى بعيد""",egyptian
"""المواصلات زحمة جداً""",egyptian
"""العربية جديدة""",egyptian
"""البيت نظيف قوي""",egyptian
"""الجامعة زحمة النهارده""",egyptian
"""شو عم تعمل هلأ؟ كنت عم فكر نروح عالقهوة""",levantine
"""ليش ما اجيت معنا عالجامعة اليوم؟""",levantine
"""كتير مبسوط اليوم لأنو خلصت المشروع""",levantine
"""بدي اروح عالجامعة بكير مشان المحاضرة""",levantine
"""هوني الجو بردان خلينا نلبس جاكيت""",levantine
"""معليش ما قدرت اجي امبارح""",levantine
"""صار الوقت نروح نزور أهلي""",levantine
"""هونيك في سوق كبير لازم نشتري منو""",levantine
"""زعلان منو كتير لأنه ما رد عليّ""",levantine
"""هدا الكتاب منيح للمراجعة قبل الامتحان""",levantine
"""شو عم تعمل بكير؟""",levantine
"""ليش ما رديت عليّ؟""",levantine
"""كتير تعبان اليوم""",levantine
"""بدي اشرب قهوة""",levantine
"""هوني الجو منيح""",levantine
"""معليش خلينا نأجل""",levantine
"""صار الوقت ندرس""",levantine
"""هونيك في جامعة كبيرة""",levantine
"""زعلان منو شوي""",levantine
"""هدا الولد صغير""",levantine
"""هديك السيارة جديدة""",levantine
"""هلق لازم نروح""",levantine
"""هلأ الجو بردان""",levantine
"""بكير نروح عالسوق""",levantine
"""مو مشكلة خلص""",levantine
"""هوني البيت نظيف""",levantine
"""هونيك المدرسة بعيدة""",levantine
"""معليش ما لحقت""",levantine
"""مبسوط بالنتيجة""",levantine
"""الشاي طيب كتير""",levantine
"""وايد حلو الجو الحين خل نطلع نتمشى""",gulf
"""شلونك اليوم؟ ما شفتك من زمان""",gulf
"""ما عليه خلها بسيطة لا تشيل هم""",gulf
"""غالي السعر وايد في هالمكان""",gulf
"""السالفة طويلة بس بنشرحلك عقب""",gulf
"""هالمكان زحمة وايد ما نقدر ندخل""",gulf
"""هالوقت مناسب نخلص الشغل""",gulf
"""هالشي ما ينفع لازم نغير الخطة""",gulf
"""هالولد صغير بس ذكي""",gulf
"""الحين بروح السوق أشتري أغراض""",gulf
"""وايد تعبان اليوم""",gulf
"""شلونك الحين؟""",gulf
"""ما عليه خلها تمر""",gulf
"""غالي السعر في السوق""",gulf
"""السالفة بسيطة""",gulf
"""هالمكان بعيد""",gulf
"""هالوقت زحمة""",gulf
"""هالشي ممتاز""",gulf
"""هالولد مريض""",gulf
"""الحين بروح الجامعة""",gulf
"""البيت مرتب""",gulf
"""المدرسة جديدة""",gulf
"""الجامعة كبيرة""",gulf
"""القهوة حارة""",gulf
"""الشاي زين""",gulf
"""الاكل رخيص""",gulf
"""الشارع مزدحم""",gulf
"""المستشفى قريب""",gulf
"""المواصلات قليلة""",gulf
"""السيارة واقفة""",gulf
"""انا كنت بفكر أروح السينما النهارده""",egyptian
"""الشارع زحمة والناس مستعجلة""",egyptian
"""المدرسة خلصت بدري النهارده""",egyptian
"""القهوة دي طعمها وحش""",egyptian
"""عايز أشتري لبس جديد من السوق""",egyptian
"""الجو برد قوي ومحتاج جاكيت""",egyptian
"""لسه مستني الأتوبيس من ساعة""",egyptian
"""الجامعة النهارده فاضية""",egyptian
"""البيت محتاج تنظيف""",egyptian
"""الولد بيلعب كورة في الشارع""",egyptian
"""شو رأيك نروح نتغدى برّا؟""",levantine
"""ليش ما اتصلت فيني مبارح؟""",levantine
"""هونيك في مطعم كتير منيح""",levantine
"""بدي اشتري كتاب جديد من السوق""",levantine
"""هلأ لازم ندرس للامتحان""",levantine
"""معليش اتأخرت عالجامعة""",levantine
"""كتير برد اليوم بالليل""",levantine
"""هدا الولد عم يلعب بالحارة""",levantine
"""هوني البيت واسع ونضيف""",levantine
"""مبسوط لأنو خلصت الشغل""",levantine
"""الحين لازم نروح الدوام""",gulf
"""وايد زحمة في هالشارع""",gulf
"""شلونك ما شفتك من زمان""",gulf
"""القهوة زينة بس غالية""",gulf
"""هالمكان بعيد عن البيت""",gulf
"""السيارة واقفة وما تشتغل""",gulf
"""الجو حر وايد اليوم""",gulf
"""هالولد يلعب كورة في الحديقة""",gulf
"""ما عليه خلها تمر""",gulf
"""الحين بروح أشتري أغراض من السوق""",gulf
